,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
641,2,344,2,17.0,19,6,8,7,6,3,2.6,520.9
642,6,158,1,14.0,6,13,16,4,3,3,1.14,2450.0
643,4,345,4,15.6,6,26,8,7,32,2,2.5,1169.0
644,3,346,2,15.6,5,10,4,5,10,3,2.4,450.0
645,6,343,2,14.0,5,31,4,8,21,3,1.43,274.0
646,3,6,1,14.0,6,3,8,3,75,3,1.8,919.0
647,14,121,4,14.0,3,26,16,3,24,3,1.95,2599.0
648,10,347,2,13.3,3,36,8,3,10,3,1.2,1213.0
649,6,265,1,12.5,6,13,8,3,3,3,1.36,1584.0
650,4,348,4,17.3,6,79,32,4,46,3,3.8,2799.0
651,3,349,4,15.6,3,17,8,7,17,5,2.4,709.0
652,5,10,1,13.3,3,9,8,3,9,3,1.2,1449.9
653,8,350,4,15.6,3,26,8,9,32,3,2.2,1191.8
654,2,3,2,15.6,5,10,4,5,10,2,1.86,364.9
655,10,351,2,15.6,6,3,8,5,3,3,2.0,1064.0
656,5,17,2,15.6,3,8,8,3,19,3,2.2,919.0
657,5,17,2,15.6,3,8,16,13,19,3,2.2,1135.0
658,6,352,4,15.6,6,73,8,9,76,3,3.31,1196.0
659,5,133,4,17.3,20,26,32,18,31,3,4.42,3147.37
660,5,353,2,14.0,3,83,8,3,10,3,1.56,1229.0
661,6,354,2,15.6,5,24,4,5,22,3,2.2,419.0
662,6,31,2,15.6,3,36,4,5,10,3,2.2,535.0
663,2,355,2,15.6,33,10,6,7,12,3,2.04,539.0
664,8,356,4,17.3,3,26,8,9,24,3,2.7,1486.77
665,10,91,2,15.6,5,84,4,1,10,3,2.1,498.0
666,5,357,2,15.6,3,3,8,7,3,3,2.06,955.0
667,2,358,2,15.6,3,13,8,7,19,3,2.1,745.0
668,10,359,2,15.6,6,3,8,3,3,3,2.0,1258.0
669,3,4,2,15.6,5,10,4,1,10,5,2.1,412.0
670,9,48,1,13.5,12,55,8,3,1,7,1.252,1867.85
671,6,360,2,15.6,3,3,8,9,12,3,1.9,817.95
672,6,361,5,13.3,8,3,8,3,3,3,1.3,1034.0
673,6,56,2,15.6,5,85,4,1,71,3,2.2,349.0
674,2,362,5,14.0,8,15,4,1,15,3,1.63,699.0
675,8,363,4,15.6,3,26,16,12,17,3,2.4,1294.0
676,4,225,1,14.0,3,3,8,3,3,3,1.1,1135.0
677,2,364,5,11.6,22,24,8,11,22,8,1.4,495.0
678,19,365,1,15.6,6,8,8,4,3,3,1.09,2299.0
679,3,366,4,15.6,3,17,16,3,32,3,2.5,1299.0
680,8,367,4,15.6,3,17,8,3,17,3,2.2,997.9
